AB14-VUB , 1 
AB188-VUB , 1 
AB187-VUB , 1 
AB20-VUB , 1 
AB9-VUB , 1 
AB176-VUB , 1 
AB16-VUB , 2 
AB167-VUB , 3 
AB169-VUB , 4 
AB227-VUB , 4 
AB229-VUB , 4 
AB232-VUB , 4 
AB5075-VUB , 4 
AB171-VUB , 5 
AB172-VUB , 5 
AB3-VUB , 5 
AB173-VUB , 6 
AB180-VUB , 6 
AB214-VUB , 6 
AB233-VUB , 6 
AB183-VUB , 6 
AB217-VUB , 6 
AB224-VUB , 6 
AB226-VUB , 6 
AB175-VUB , 6 
AB212-VUB , 6 
AB193-VUB , 6 
AB213-VUB , 6 
AB36-VUB , 6 
AB194-VUB , 7 
AB177-VUB , 8 
AB179-VUB , 9 
AB181-VUB , 10 
AB186-VUB , 11 
AB189-VUB , 12 
AB222-VUB , 12 
AB21-VUB , 13 
AB216-VUB , 14 
AB219-VUB , 14 
AB220-VUB , 15 
AB231-VUB , 16 
AB32-VUB , 17 
AB39-VUB , 18 
AB40-VUB , 19 
ATCC17978-VUB , 20 
ATCC19606-VUB , 21 
DSM30011-VUB , 22 
