AB14-VUB , 1 
AB188-VUB , 1 
AB187-VUB , 1 
AB20-VUB , 1 
AB9-VUB , 1 
AB176-VUB , 1 
AB16-VUB , 2 
AB167-VUB , 3 
AB169-VUB , 4 
AB171-VUB , 5 
AB172-VUB , 5 
AB3-VUB , 6 
AB173-VUB , 7 
AB180-VUB , 7 
AB214-VUB , 7 
AB233-VUB , 7 
AB183-VUB , 7 
AB217-VUB , 7 
AB224-VUB , 7 
AB226-VUB , 7 
AB175-VUB , 8 
AB212-VUB , 8 
AB177-VUB , 9 
AB179-VUB , 10 
AB181-VUB , 11 
AB186-VUB , 12 
AB189-VUB , 13 
AB222-VUB , 13 
AB193-VUB , 14 
AB213-VUB , 14 
AB194-VUB , 15 
AB21-VUB , 16 
AB216-VUB , 17 
AB219-VUB , 17 
AB220-VUB , 18 
AB227-VUB , 19 
AB229-VUB , 19 
AB232-VUB , 19 
AB231-VUB , 20 
AB32-VUB , 21 
AB36-VUB , 22 
AB39-VUB , 23 
AB40-VUB , 24 
AB5075-VUB , 25 
ATCC17978-VUB , 26 
ATCC19606-VUB , 27 
DSM30011-VUB , 28 
