AB14-VUB , 1 
AB188-VUB , 1 
AB187-VUB , 1 
AB20-VUB , 1 
AB9-VUB , 1 
AB176-VUB , 1 
AB16-VUB , 2 
AB167-VUB , 3 
AB169-VUB , 4 
AB227-VUB , 5 
AB229-VUB , 5 
AB232-VUB , 5 
AB171-VUB , 6 
AB172-VUB , 6 
AB3-VUB , 6 
AB173-VUB , 7 
AB180-VUB , 7 
AB214-VUB , 7 
AB233-VUB , 7 
AB183-VUB , 7 
AB217-VUB , 7 
AB224-VUB , 7 
AB226-VUB , 7 
AB175-VUB , 7 
AB212-VUB , 7 
AB193-VUB , 7 
AB213-VUB , 7 
AB177-VUB , 8 
AB179-VUB , 9 
AB181-VUB , 10 
AB186-VUB , 11 
AB189-VUB , 12 
AB222-VUB , 12 
AB194-VUB , 13 
AB21-VUB , 14 
AB216-VUB , 15 
AB219-VUB , 15 
AB220-VUB , 16 
AB231-VUB , 17 
AB32-VUB , 18 
AB36-VUB , 19 
AB39-VUB , 20 
AB40-VUB , 21 
AB5075-VUB , 22 
ATCC17978-VUB , 23 
ATCC19606-VUB , 24 
DSM30011-VUB , 25 
